Label,Id,most_published_topic
Pratap Tokekar,52,"Robotics, Autonomous Systems, and Control"
Zhong-Zhi Li,53,Machine Learning Algorithms and Theoretical AI
Somak Aditya,54,Large Language Models and Natural Language Processing
Nikolas Lessmann,55,Healthcare and Biomedical Applications of AI
Zeeshan Hayder,56,Machine Learning Algorithms and Theoretical AI
Yifan Yang,57,Machine Learning Algorithms and Theoretical AI
Damien Garcia,58,Healthcare and Biomedical Applications of AI
Wenting Zhao,59,Large Language Models and Natural Language Processing
Anton Andreev,60,AI in Social Sciences and Humanities
Daniele Berardini,61,Healthcare and Biomedical Applications of AI
Drew F. K. Williamson,62,Healthcare and Biomedical Applications of AI
Alicia Parrish,63,Large Language Models and Natural Language Processing
Tuo Zhang,64,Large Language Models and Natural Language Processing
Tiezheng Ge,65,Machine Learning Algorithms and Theoretical AI
Ruoyun Ma,66,Large Language Models and Natural Language Processing
Anindya Iqbal,67,Machine Learning Algorithms and Theoretical AI
Christopher P. Ley,68,Data Science and Analytics
Daniel Gatica-Perez,69,Machine Learning Algorithms and Theoretical AI
Wangshu Zhang,70,Large Language Models and Natural Language Processing
Chun-Wei Tsai,71,Computer Vision and Image Processing
Taotao Zhou,72,Data Science and Analytics
Maria Paz Gelpi,73,Data Science and Analytics
Tomochika Sawaki,74,Machine Learning Algorithms and Theoretical AI
Yan-Tie Liu,75,Large Language Models and Natural Language Processing
Chenran Li,76,"Robotics, Autonomous Systems, and Control"
Kristen M. Edwards,77,
Aaron Mullen,78,Healthcare and Biomedical Applications of AI
Haonan Chen,79,"Robotics, Autonomous Systems, and Control"
Jean Jacobs,80,AI for Industrial Automation and Manufacturing
Shengzhong Liu,81,Machine Learning Algorithms and Theoretical AI
David F Tate,82,Healthcare and Biomedical Applications of AI
Olaf Wysocki,83,Computer Vision and Image Processing
Huanzhang Dou,84,"Robotics, Autonomous Systems, and Control"
Thierry Charnois,85,Large Language Models and Natural Language Processing
Zeyi Sun,86,Computer Vision and Image Processing
César França,87,Emerging Technologies and Future Trends in AI
Quoc-Huy Trinh,88,
Xiaodong Shi,89,Data Science and Analytics
Venkat Venkatasubramanian,90,Large Language Models and Natural Language Processing
Hengshuang Zhao,91,Computer Vision and Image Processing
Manmohan Chandraker,92,Computer Vision and Image Processing
Jiankun Zhao,93,Sustainability and Environmental Applications of AI
Maryam Fazel,94,Machine Learning Algorithms and Theoretical AI
Kerstin Bongard-Blanchy,95,Healthcare and Biomedical Applications of AI
Jian He,96,Healthcare and Biomedical Applications of AI
Qing Zhao,97,
Zican Dong,98,Large Language Models and Natural Language Processing
Sayeed Shafayet Chowdhury,99,Machine Learning Algorithms and Theoretical AI
Sander Beckers,100,Machine Learning Algorithms and Theoretical AI
Ju Wang,101,Machine Learning Algorithms and Theoretical AI
Zhiwei Fu,102,Machine Learning Algorithms and Theoretical AI
Daniel Kienzle,103,Computer Vision and Image Processing
Stefan J. Wijnholds Dimka Karastoyanova,104,Machine Learning Algorithms and Theoretical AI
Weilin Cong,105,Machine Learning Algorithms and Theoretical AI
Yuecheng Liu,106,"Robotics, Autonomous Systems, and Control"
Guy Boudoukh,107,Large Language Models and Natural Language Processing
Eva Pachetti,108,Healthcare and Biomedical Applications of AI
Erik Huneker,109,Machine Learning Algorithms and Theoretical AI
Dimitrios Psychogyios,110,Computer Vision and Image Processing
Michael Hanna,111,Large Language Models and Natural Language Processing
Denys Herasymuk,112,Machine Learning Algorithms and Theoretical AI
Makoto Morishita,113,Large Language Models and Natural Language Processing
Ugochukwu Orji,114,Healthcare and Biomedical Applications of AI
Hideaki Takahashi,115,Cybersecurity and Information Security with AI
Fanjie Kong,116,"AI in Education, Art, and Creative Industries"
Heike Baldauf-Quilliatre,117,Human-Computer Interaction and User Experience
Malak Abid Ali Khan,118,Computer Vision and Image Processing
Xiaoyan Gu,119,Computer Vision and Image Processing
James Seale Smith,120,"AI in Education, Art, and Creative Industries"
Joel Dyer,121,Machine Learning Algorithms and Theoretical AI
Vineet Goyal,122,Machine Learning Algorithms and Theoretical AI
Jesse Hagenaars,123,"Robotics, Autonomous Systems, and Control"
Fabian B. Flohr,124,Computer Vision and Image Processing
José Lezama,125,Large Language Models and Natural Language Processing
Jiakai Shi,126,Healthcare and Biomedical Applications of AI
Haibo Wang,127,Machine Learning Algorithms and Theoretical AI
Shokufeh Sadaghiani,128,Healthcare and Biomedical Applications of AI
Philippe Gottfrois,129,Healthcare and Biomedical Applications of AI
Victor M. Castro,130,Healthcare and Biomedical Applications of AI
Shengjie Liu,131,Large Language Models and Natural Language Processing
Changbao Su,132,Large Language Models and Natural Language Processing
Ehsan Samei,133,Computer Vision and Image Processing
Diyi Hu,134,Machine Learning Algorithms and Theoretical AI
Ildar Nurgaliev,135,Machine Learning Algorithms and Theoretical AI
Ximing Liu,136,AI for Industrial Automation and Manufacturing
Jorge Ortiz,137,Cybersecurity and Information Security with AI
Nicholas Hippen,138,
Andrew J Margenot,139,Machine Learning Algorithms and Theoretical AI
Zhuoxin Han,140,
Rebecca S. Stone,141,Computer Vision and Image Processing
Junmin Zhong,142,Machine Learning Algorithms and Theoretical AI
Tony Xia,143,Large Language Models and Natural Language Processing
Adhrik Chethan,144,Large Language Models and Natural Language Processing
Congying Chu,145,Emerging Technologies and Future Trends in AI
Claude Formanek,146,Machine Learning Algorithms and Theoretical AI
Chu-Cheng Lin,147,Large Language Models and Natural Language Processing
Gheorghe Comanici,148,Large Language Models and Natural Language Processing
Boris Belousov,149,Machine Learning Algorithms and Theoretical AI
Kejun Zhang,150,"AI in Education, Art, and Creative Industries"
Pedro Quaresma,151,Machine Learning Algorithms and Theoretical AI
Changxin Gao,152,Computer Vision and Image Processing
P. Thomas Fletcher,153,Computer Vision and Image Processing
Zongzhang Zhang,154,Machine Learning Algorithms and Theoretical AI
Nan Jiang,155,Machine Learning Algorithms and Theoretical AI
Zhiwen Yu,156,"Robotics, Autonomous Systems, and Control"
Luna Yee,157,Machine Learning Algorithms and Theoretical AI
Tyler Russel,158,Data Science and Analytics
Varsha Ravi,159,"Robotics, Autonomous Systems, and Control"
Xiaohong Hao,160,Large Language Models and Natural Language Processing
Yiqin Tan,161,Machine Learning Algorithms and Theoretical AI
Maximilian Böther,162,Data Science and Analytics
Lu Qinghua,163,Machine Learning Algorithms and Theoretical AI
Hirenkumar Nakawala,164,"Robotics, Autonomous Systems, and Control"
Quansheng Xie,165,Computer Vision and Image Processing
Arthur Vervaet,166,
Yizhao Zhang,167,Data Science and Analytics
Yunping Ge,168,Computer Vision and Image Processing
Wu Qiong,169,"AI in Education, Art, and Creative Industries"
Muhammad Sohaib Ayub,170,Machine Learning Algorithms and Theoretical AI
Sayak Ray Chowdhury,171,Large Language Models and Natural Language Processing
Chen-Yu Wei,172,Machine Learning Algorithms and Theoretical AI
Long Pham,173,"AI Ethics, Society, and Policy"
Fangrui Lv,174,Machine Learning Algorithms and Theoretical AI
Asif Newaz,175,
Kyle Mahowald,176,Large Language Models and Natural Language Processing
Sakir Tasdemir,177,Machine Learning Algorithms and Theoretical AI
Sumitrra Ganguly,178,Machine Learning Algorithms and Theoretical AI
Masha Zorin,179,"AI Ethics, Society, and Policy"
Doudou Wu,180,
Steffen Seitz,181,Computer Vision and Image Processing
David Schneider,182,Computer Vision and Image Processing
Miqing Li,183,Machine Learning Algorithms and Theoretical AI
Ashwin Ramesh Babu,184,Machine Learning Algorithms and Theoretical AI
Ziyuan Huang,185,Machine Learning Algorithms and Theoretical AI
Daniel Zhang,186,"AI in Education, Art, and Creative Industries"
Sarah Nadi,187,Large Language Models and Natural Language Processing
Haitian Liu,188,Large Language Models and Natural Language Processing
Sagnik Ray Choudhury,189,Large Language Models and Natural Language Processing
Guangyuan Liu,190,"AI in Education, Art, and Creative Industries"
Huaijiang Sun,191,Computer Vision and Image Processing
Prathosh AP,192,Machine Learning Algorithms and Theoretical AI
Rishabh Garodia,193,Large Language Models and Natural Language Processing
Arseny Ivanov,194,Machine Learning Algorithms and Theoretical AI
Mingyi Hong,195,Machine Learning Algorithms and Theoretical AI
Patrik Hammersborg,196,"AI Ethics, Society, and Policy"
Hong Xu,197,Large Language Models and Natural Language Processing
Francesco Bonchi,198,Machine Learning Algorithms and Theoretical AI
Karam Dawoud,199,"AI Ethics, Society, and Policy"
Derek Lilienthal,200,Data Science and Analytics
Yumo Yao,201,"AI in Education, Art, and Creative Industries"
Biswadip Dey,202,Machine Learning Algorithms and Theoretical AI
Avia Aharon,203,Machine Learning Algorithms and Theoretical AI
Matthew E. Peters,204,Large Language Models and Natural Language Processing
Alexander Wan,205,Machine Learning Algorithms and Theoretical AI
Oladayo Solomon Ajani,206,Machine Learning Algorithms and Theoretical AI
Eve M Valera,207,Healthcare and Biomedical Applications of AI
Olaf Lipinski,208,AI in Social Sciences and Humanities
Sylvie Thiébaux,209,Machine Learning Algorithms and Theoretical AI
Hang Li,210,Large Language Models and Natural Language Processing
Andrea Sanagustín Cabrero,211,"AI Ethics, Society, and Policy"
Johannah O'Mahony,212,Computer Vision and Image Processing
Roland Haas,213,Healthcare and Biomedical Applications of AI
Peter Delmastro,214,Machine Learning Algorithms and Theoretical AI
Zhengzheng Liu,215,Machine Learning Algorithms and Theoretical AI
Ngoc-Duy Mai,216,Machine Learning Algorithms and Theoretical AI
Carlos Toxtli Hernandez,217,
Ayush Kumar Mishra,218,"AI Ethics, Society, and Policy"
Yunjie Zhu,219,Data Science and Analytics
Devendra Parkar,220,"Robotics, Autonomous Systems, and Control"
Christy Koh,221,Large Language Models and Natural Language Processing
Shufang Xie,222,Machine Learning Algorithms and Theoretical AI
Aidong Ding,223,"AI Ethics, Society, and Policy"
Domenico Balsamo,224,Machine Learning Algorithms and Theoretical AI
Rallou Thomopoulos,225,Data Science and Analytics
Yuchen Zhao,226,Healthcare and Biomedical Applications of AI
Yifu Qiu,227,Large Language Models and Natural Language Processing
Trevor E. Pogue,228,Machine Learning Algorithms and Theoretical AI
Tobias Müller,229,Machine Learning Algorithms and Theoretical AI
Sina Jahromi,230,Healthcare and Biomedical Applications of AI
Philippe Lambin,231,Healthcare and Biomedical Applications of AI
Jay Brett,232,
Mohammad Mahdi Chekidehkhoun,233,"AI Ethics, Society, and Policy"
Kentaro Mitsui,234,Machine Learning Algorithms and Theoretical AI
Christoph Gerhard Lisson,235,
P. N. Suganthan,236,Machine Learning Algorithms and Theoretical AI
Marko Grobelnik,237,Data Science and Analytics
Jingyi Sun,238,Machine Learning Algorithms and Theoretical AI
Stephen Jolly,239,Computer Vision and Image Processing
Mayank Vatsa,240,Large Language Models and Natural Language Processing
Peter J. Jin,241,AI in Social Sciences and Humanities
Jiaming Lu,242,"Robotics, Autonomous Systems, and Control"
Andrea Bozoki,243,Healthcare and Biomedical Applications of AI
Jaehyun Choi,244,Machine Learning Algorithms and Theoretical AI
Elizabeth Sieber,245,"AI in Education, Art, and Creative Industries"
Yupei Zhang,246,Machine Learning Algorithms and Theoretical AI
Hejie Cui,247,Healthcare and Biomedical Applications of AI
Pooja Jain,248,"Robotics, Autonomous Systems, and Control"
Ellie Evans,249,"AI Ethics, Society, and Policy"
Christopher Funk,250,Machine Learning Algorithms and Theoretical AI
Hongyu Lin,251,Large Language Models and Natural Language Processing
Zhe Dong,252,Large Language Models and Natural Language Processing
Wendy A Rogers,253,Healthcare and Biomedical Applications of AI
Niranjan Balasubramanian,254,Large Language Models and Natural Language Processing
Giuseppe Riccardi,255,Machine Learning Algorithms and Theoretical AI
Francesco Messina,256,Computer Vision and Image Processing
Yan Zhang,257,Computer Vision and Image Processing
Saad Shahid,258,"AI Ethics, Society, and Policy"
Vinicius Caridá,259,"AI in Education, Art, and Creative Industries"
Gianni Franchi,260,Machine Learning Algorithms and Theoretical AI
Xiang Wang,261,Machine Learning Algorithms and Theoretical AI
Amit Raul,262,Large Language Models and Natural Language Processing
Mingsong Chen,263,Machine Learning Algorithms and Theoretical AI
Li Zhu,264,Computer Vision and Image Processing
Ayush Kumar,265,"AI Ethics, Society, and Policy"
Anshumaan Chauhan,266,Machine Learning Algorithms and Theoretical AI
Kevin Brink,267,Machine Learning Algorithms and Theoretical AI
Pavlo Bredikhin,268,Computer Vision and Image Processing
Furkan Alaca,269,Machine Learning Algorithms and Theoretical AI
Cristian Secchi,270,"Robotics, Autonomous Systems, and Control"
Yuanbo Xu,271,Machine Learning Algorithms and Theoretical AI
Liangyou Li,272,Machine Learning Algorithms and Theoretical AI
Casper Gyurik,273,Quantum Computing and AI
Davide Liberato Manna,274,Machine Learning Algorithms and Theoretical AI
Aixin Sun,275,Large Language Models and Natural Language Processing
Dmitry Rybin,276,Machine Learning Algorithms and Theoretical AI
Jingtao Hong,277,Cybersecurity and Information Security with AI
Shivam Duggal,278,Machine Learning Algorithms and Theoretical AI
Kotaro Funakoshi,279,Data Science and Analytics
Arif Mahmood,280,Computer Vision and Image Processing
Abdullah Can Algan,281,Machine Learning Algorithms and Theoretical AI
Yan-Jie Zhou,282,Healthcare and Biomedical Applications of AI
Yifan Luo,283,Machine Learning Algorithms and Theoretical AI
Meirong Ma,284,Computer Vision and Image Processing
Valeri Nikolaev,285,Large Language Models and Natural Language Processing
Jaehun Jung,286,Large Language Models and Natural Language Processing
Farhad Javid,287,
Zhiliang Xiang,288,
Daneul Kim,289,"AI in Education, Art, and Creative Industries"
Youngjae Min,290,Machine Learning Algorithms and Theoretical AI
Yue Ban,291,Quantum Computing and AI
Makesh Sreedhar,292,Large Language Models and Natural Language Processing
Hiroaki Yamada,293,Large Language Models and Natural Language Processing
Farimah Farahmandi,294,Large Language Models and Natural Language Processing
Zeqing Wang,295,Machine Learning Algorithms and Theoretical AI
Igor Perez-Tejedor,296,Healthcare and Biomedical Applications of AI
Gun Jin Yun,297,Computer Vision and Image Processing
Julio Laborde,298,Computer Vision and Image Processing
Weijian Ma,299,Computer Vision and Image Processing
Bingsheng He,300,Machine Learning Algorithms and Theoretical AI
Changying Li,301,AI for Industrial Automation and Manufacturing
Peiyi Wang,302,"AI Ethics, Society, and Policy"
Roberto Prevete,303,Machine Learning Algorithms and Theoretical AI
Jeffrey Caterino,304,Healthcare and Biomedical Applications of AI
Yingbin Mo,305,Large Language Models and Natural Language Processing
Ser-Nam Lim,306,Machine Learning Algorithms and Theoretical AI
Erik Schaffernicht,307,Machine Learning Algorithms and Theoretical AI
Aven Le Zhou,308,"AI in Education, Art, and Creative Industries"
Ce Zheng,309,Computer Vision and Image Processing
Armand Comas,310,Machine Learning Algorithms and Theoretical AI
Matthew C. Fontaine,311,"Robotics, Autonomous Systems, and Control"
Nicholas Tzou,312,Machine Learning Algorithms and Theoretical AI
Svetha Venkatesh,313,Machine Learning Algorithms and Theoretical AI
Chien-Ming Huang,314,Human-Computer Interaction and User Experience
Sadhana Ravikumar,315,Healthcare and Biomedical Applications of AI
Mark Staples,316,"AI Ethics, Society, and Policy"
Eric Keylor,317,"AI in Education, Art, and Creative Industries"
Michael L. Brodie,318,Data Science and Analytics
Matthieu Nastorg,319,Machine Learning Algorithms and Theoretical AI
Yuxuan Zhao,320,"Robotics, Autonomous Systems, and Control"
Benfeng Xu,321,Machine Learning Algorithms and Theoretical AI
Jaime Arguello,322,AI in Social Sciences and Humanities
Pawan Ajmera,323,Healthcare and Biomedical Applications of AI
Li-Chin Chen,324,Healthcare and Biomedical Applications of AI
Osmar Abilio de Carvalho Junior,325,Computer Vision and Image Processing
Zohreh Nozari Khoshdaregi,326,Computer Vision and Image Processing
Pengbin Hu,327,Computer Vision and Image Processing
Michael Mitzenmacher,328,Machine Learning Algorithms and Theoretical AI
O-Joun Lee,329,Healthcare and Biomedical Applications of AI
Ali Nikkhah,330,Machine Learning Algorithms and Theoretical AI
Rotem Dror,331,Data Science and Analytics
Yoichi Aoki,332,Machine Learning Algorithms and Theoretical AI
Haochao Ying,333,Computer Vision and Image Processing
Yarah Basyoni,334,"Robotics, Autonomous Systems, and Control"
Min Young Chung,335,Machine Learning Algorithms and Theoretical AI
Aeyal Raz,336,Healthcare and Biomedical Applications of AI
Sejune Joo,337,Large Language Models and Natural Language Processing
Tarik Hasic,338,Computer Vision and Image Processing
Songyang Zhang,339,Large Language Models and Natural Language Processing
Chieh-Ming Jiang,340,Machine Learning Algorithms and Theoretical AI
Mahdi Boloursaz Mashhadi,341,"Robotics, Autonomous Systems, and Control"
Yelysei Bondarenko,342,Machine Learning Algorithms and Theoretical AI
Zhengru Fang,343,"Robotics, Autonomous Systems, and Control"
Lama Ahmad,344,Large Language Models and Natural Language Processing
Ken Hasselmann,345,"AI in Education, Art, and Creative Industries"
Max Nadeau,346,Large Language Models and Natural Language Processing
Lucile Saulnier,347,Large Language Models and Natural Language Processing
Sudip Bhattacharya,348,Data Science and Analytics
Ismail Sahbane,349,"AI Ethics, Society, and Policy"
Wenqi Shi,350,Large Language Models and Natural Language Processing
Te Zhang,351,Machine Learning Algorithms and Theoretical AI
Joel Ruben Antony Moniz,352,Large Language Models and Natural Language Processing
Jing Cai,353,Large Language Models and Natural Language Processing
Lin Zheng,354,Healthcare and Biomedical Applications of AI
Qianwen Meng,355,Data Science and Analytics
Mark Leznik,356,Data Science and Analytics
Yagmur Yigit,357,Cybersecurity and Information Security with AI
Kwabena Nuamah,358,Machine Learning Algorithms and Theoretical AI
Vishal Sunder,359,"AI in Education, Art, and Creative Industries"
Mahdi Ghorbani,360,Healthcare and Biomedical Applications of AI
Li Xiaoli,361,Machine Learning Algorithms and Theoretical AI
Yongwan Gim,362,Data Science and Analytics
Daniil Kirilenko,363,Computer Vision and Image Processing
Yeonjun In,364,Machine Learning Algorithms and Theoretical AI
Richard Brunner,365,"AI Ethics, Society, and Policy"
Shuncheng Liu,366,"Robotics, Autonomous Systems, and Control"
Siyu Yuan,367,Large Language Models and Natural Language Processing
Bowen Jin,368,Large Language Models and Natural Language Processing
Jaehyuk Park,369,AI in Social Sciences and Humanities
Darian Onchis,370,"Robotics, Autonomous Systems, and Control"
Jianhua Li,371,Machine Learning Algorithms and Theoretical AI
Michael Equi,372,Large Language Models and Natural Language Processing
Linqi Zhou,373,Machine Learning Algorithms and Theoretical AI
Hwaran Lee,374,Machine Learning Algorithms and Theoretical AI
Grégoire Montavon,375,Machine Learning Algorithms and Theoretical AI
Sheena Dufresne,376,Healthcare and Biomedical Applications of AI
Hui Lin,377,Computer Vision and Image Processing
Fengyuan Hu,378,Large Language Models and Natural Language Processing
Aaron Pache,379,Machine Learning Algorithms and Theoretical AI
Haruka Kita,380,"Robotics, Autonomous Systems, and Control"
Mary Adewunmi,381,Healthcare and Biomedical Applications of AI
Marco Mauer,382,Large Language Models and Natural Language Processing
Rujiao Yan,383,Computer Vision and Image Processing
Chenxi Whitehouse,384,Large Language Models and Natural Language Processing
Junjie Sun,385,Machine Learning Algorithms and Theoretical AI
Shane Gu,386,Large Language Models and Natural Language Processing
Wenkai Tan,387,"AI Ethics, Society, and Policy"
Md. Shahriar Mahbub,388,Machine Learning Algorithms and Theoretical AI
Waris Gill,389,Cybersecurity and Information Security with AI
Jacob Scharcanski,390,"AI Ethics, Society, and Policy"
Ian Watson,391,Large Language Models and Natural Language Processing
Sonia Israel,392,Healthcare and Biomedical Applications of AI
Román Cárdenas,393,Emerging Technologies and Future Trends in AI
Hai Nguyen,394,Machine Learning Algorithms and Theoretical AI
El Mehdi Chouham,395,Large Language Models and Natural Language Processing
Joslyn Barnhart,396,"AI Ethics, Society, and Policy"
Eduardo Augusto Bezerra,397,Machine Learning Algorithms and Theoretical AI
Zhenfang Wang,398,Large Language Models and Natural Language Processing
Ahmed Imtiaz Humayun,399,Machine Learning Algorithms and Theoretical AI
Jeffrey Uhlmann,400,Machine Learning Algorithms and Theoretical AI
Ziyu Lin,401,Machine Learning Algorithms and Theoretical AI
Che Wang,402,Machine Learning Algorithms and Theoretical AI
Bingzhi Zhang,403,Emerging Technologies and Future Trends in AI
Liangfei Zhang,404,Large Language Models and Natural Language Processing
Richa Singh,405,Large Language Models and Natural Language Processing
Xiaojin Zhu,406,Machine Learning Algorithms and Theoretical AI
Peter Pištek,407,Cybersecurity and Information Security with AI
Wenfeng Han,408,"AI Ethics, Society, and Policy"
Sabina B. van Rooij,409,Computer Vision and Image Processing
Cheng Xue,410,"AI in Education, Art, and Creative Industries"
Shihabur Rahman Chowdhury,411,Data Science and Analytics
Donglan Zhang,412,Large Language Models and Natural Language Processing
Zhezheng Luo,413,Machine Learning Algorithms and Theoretical AI
Lina Yang,414,Computer Vision and Image Processing
Remi Crocker,415,Large Language Models and Natural Language Processing
Bryan Kian Hsiang Low,416,Machine Learning Algorithms and Theoretical AI
Xiao-Liang Xie,417,Machine Learning Algorithms and Theoretical AI
Mohammud J. Bocus,418,Machine Learning Algorithms and Theoretical AI
Dilara Soylu,419,Data Science and Analytics
Maddy Hunter,420,Machine Learning Algorithms and Theoretical AI
Subhankar Roy,421,
Blaž Bertalanič,422,Sustainability and Environmental Applications of AI
Jonas Dirr,423,"Robotics, Autonomous Systems, and Control"
Gonul Ayci,424,
Alexandre Sallinen,425,Healthcare and Biomedical Applications of AI
Pavel Petrovic,426,Computer Vision and Image Processing
Tushar Mandge,427,Data Science and Analytics
George Sterpu,428,Emerging Technologies and Future Trends in AI
Jonas Peters,429,Machine Learning Algorithms and Theoretical AI
Sarath Chandar,430,Machine Learning Algorithms and Theoretical AI
Zhenlian Qi,431,"AI in Education, Art, and Creative Industries"
Fahad Shahbaz Khan,432,Computer Vision and Image Processing
Avery Broderick,433,
Volker Krueger,434,"Robotics, Autonomous Systems, and Control"
Jan-Jakob Sonke,435,Machine Learning Algorithms and Theoretical AI
Puze Liu,436,"Robotics, Autonomous Systems, and Control"
Rachelle Tsachor,437,AI in Social Sciences and Humanities
Mirigual Kurban,438,Healthcare and Biomedical Applications of AI
Timothy Nunn,439,
Youjia Yang,440,
Mohammed A. Alliheedi,441,Cybersecurity and Information Security with AI
Shugo Nakamura,442,Machine Learning Algorithms and Theoretical AI
Ferdinand Mom,443,Machine Learning Algorithms and Theoretical AI
Wang Xu,444,Large Language Models and Natural Language Processing
Dmitrii Khizbullin,445,Large Language Models and Natural Language Processing
Liliane Momeni,446,Large Language Models and Natural Language Processing
Haibin Zheng,447,Machine Learning Algorithms and Theoretical AI
Jiuwen Cao,448,Healthcare and Biomedical Applications of AI
Yanjun Gao,449,Healthcare and Biomedical Applications of AI
Zhiying Tu,450,Large Language Models and Natural Language Processing
Filippo Caruso,451,Quantum Computing and AI
Monica Bianchini,452,Machine Learning Algorithms and Theoretical AI
Robert Baldock,453,Large Language Models and Natural Language Processing
Mukarram Tariq,454,Large Language Models and Natural Language Processing
Changyou Chen,455,Large Language Models and Natural Language Processing
Ondřej Kuželka,456,Machine Learning Algorithms and Theoretical AI
Isabella Fulford,457,Large Language Models and Natural Language Processing
Shehui Liang,458,Large Language Models and Natural Language Processing
Jiajie Wu,459,Healthcare and Biomedical Applications of AI
Davide Ferrari,460,"Robotics, Autonomous Systems, and Control"
Jeff Talbert,461,Healthcare and Biomedical Applications of AI
Shasha Guo,462,Large Language Models and Natural Language Processing
Isaac Remy,463,Computer Vision and Image Processing
Marko Krema,464,Data Science and Analytics
Antonio Guzzi,465,"Robotics, Autonomous Systems, and Control"
Kamil Akhuseyinoglu,466,"AI in Education, Art, and Creative Industries"
Domenico Cantone,467,Machine Learning Algorithms and Theoretical AI
Zeju Li,468,"AI in Education, Art, and Creative Industries"
Guifeng Wang,469,Data Science and Analytics
Walter E. Voit,470,AI for Industrial Automation and Manufacturing
Dario Zanca,471,Data Science and Analytics
Yusu Wang,472,Machine Learning Algorithms and Theoretical AI
Amir Yazdanbakhsh,473,Machine Learning Algorithms and Theoretical AI
Xue Zaifa,474,Machine Learning Algorithms and Theoretical AI
Miguel-Ángel Fernández-Torres,475,
Huy Tu,476,Machine Learning Algorithms and Theoretical AI
Marcell Stippinger,477,Data Science and Analytics
Rose Yu,478,
Xutong Zhao,479,Machine Learning Algorithms and Theoretical AI
Aditya Pakala,480,Large Language Models and Natural Language Processing
Kyle Kosic,481,Large Language Models and Natural Language Processing
Ian Adelstein,482,
Yohei Nakata,483,Computer Vision and Image Processing
Yusuke Kawamoto,484,Cybersecurity and Information Security with AI
Albin Cassirer,485,Large Language Models and Natural Language Processing
Siheng Li,486,Human-Computer Interaction and User Experience
Xiyang Cui,487,Computer Vision and Image Processing
Gamage Upeksha Ganegoda,488,Machine Learning Algorithms and Theoretical AI
Qiming Yuan,489,Large Language Models and Natural Language Processing
Ofir Arviv,490,Large Language Models and Natural Language Processing
Won-Jin Moon,491,Healthcare and Biomedical Applications of AI
Prasenjit Ghorai,492,"Robotics, Autonomous Systems, and Control"
James Liang,493,Computer Vision and Image Processing
Zixiao Zhu,494,Large Language Models and Natural Language Processing
Qingqun Kong,495,Machine Learning Algorithms and Theoretical AI
Zhihong Pan,496,Computer Vision and Image Processing
Angela Fan,497,Large Language Models and Natural Language Processing
